id,nama,tanggal,jumlah
TRX00000,OMODF,2024-10-28,839.53
TRX00001,QDFKU,2023-07-04,809.47
TRX00002,MJHYJ,2024-07-29,103.66
TRX00003,XTQTS,2025-12-02,191.2
TRX00004,SFLLP,2025-03-26,143.33
TRX00005,IGSVN,2024-07-11,130.79
TRX00006,EBNIT,2023-10-11,538.38
TRX00007,ODGCS,2023-10-23,49.29
TRX00008,KCCBT,2023-12-24,704.41
TRX00009,RPPJB,2024-10-10,203.0
TRX00010,WPFWM,2023-06-20,477.69
TRX00011,PTXMV,2023-05-03,923.63
TRX00012,SOWZV,2023-03-11,76.32
TRX00013,BYUYA,2024-09-16,287.2
TRX00014,ACFZE,2025-05-03,816.72
TRX00015,HBLCF,2023-10-07,275.48
TRX00016,IVQEU,2024-01-28,96.38
TRX00017,BKZUB,2025-08-17,757.56
TRX00018,XMAYY,2023-01-07,65.84
TRX00019,HAQJM,2023-03-26,914.36
TRX00020,AZHPY,2025-02-15,288.31
TRX00021,IISMW,2024-10-06,645.6
TRX00022,EQWZD,2025-10-11,976.85
TRX00023,IENVD,2025-03-26,296.95
TRX00024,RYQUQ,2025-11-27,276.97
TRX00025,HPQZU,2025-06-28,722.47
TRX00026,LKGQG,2023-08-26,842.81
TRX00027,SSGMX,2024-12-23,519.88
TRX00028,KBRQD,2024-09-11,743.15
TRX00029,HPMCP,2025-05-16,837.85
TRX00030,MTSQN,2023-11-08,130.71
TRX00031,DKNVL,2023-07-23,697.51
TRX00032,JFMTO,2024-02-01,75.31
TRX00033,XSQSY,2024-07-26,534.08
TRX00034,TNNDP,2025-03-12,171.95
TRX00035,TYJXG,2024-08-31,47.3
TRX00036,PIBAO,2023-04-25,225.15
TRX00037,BJQEZ,2025-05-07,134.76
TRX00038,OFHMP,2024-02-09,831.46
TRX00039,HHJRS,2024-08-20,634.95
TRX00040,FJKGP,2024-12-31,535.13
TRX00041,BXFQR,2024-11-24,443.82
TRX00042,IEZFA,2024-10-16,360.16
TRX00043,MAIOR,2023-10-03,273.46
TRX00044,RIOSM,2025-03-29,923.93
TRX00045,XDTNZ,2025-10-02,86.81
TRX00046,FCLFX,2024-12-14,502.14
TRX00047,VGGMB,2024-08-01,77.1
TRX00048,BPJSR,2023-06-13,802.18
TRX00049,GTWFW,2023-01-20,352.59
TRX00050,ZDGRS,2024-08-05,770.29
TRX00051,FDVHR,2025-08-01,158.56
TRX00052,USZAY,2024-07-09,507.32
TRX00053,SQVEQ,2024-05-31,982.43
TRX00054,VVELC,2023-10-04,434.94
TRX00055,WKVJE,2024-03-12,911.96
TRX00056,THUPW,2023-12-15,39.93
TRX00057,ZLGOD,2025-11-20,22.28
TRX00058,KUGJU,2023-06-18,724.3
TRX00059,IPSBH,2025-10-16,631.01
TRX00060,OJBTU,2024-09-27,400.37
TRX00061,IASFG,2025-01-26,15.51
TRX00062,SHPSM,2025-04-30,855.64
TRX00063,NMQJU,2025-03-18,466.54
TRX00064,JRXZC,2023-03-09,29.63
TRX00065,LMHHM,2023-09-16,998.39
TRX00066,KKVES,2023-01-23,889.09
TRX00067,QIEZI,2024-03-27,852.02
TRX00068,TUTLM,2025-03-28,430.82
TRX00069,GUAHQ,2023-01-06,787.35
TRX00070,JCHVY,2025-01-21,287.62
TRX00071,VCVNR,2025-11-04,104.53
TRX00072,RYJMV,2024-01-17,386.77
TRX00073,XMNQQ,2024-03-12,956.43
TRX00074,IRJGI,2025-08-31,551.85
TRX00075,SLZLD,2023-03-04,642.25
TRX00076,TCXEN,2024-07-06,582.85
TRX00077,FWWTN,2025-06-04,276.29
TRX00078,EXWTC,2023-04-20,241.34
TRX00079,KRFOR,2024-04-26,570.71
